locality,lon,lat,Age,region,Country,group.name
Calatafimi (Trapani_Sicily),12.86354222,37.91421166,pre-evaporitic Messinian,Eastern Mediterranean,Italy,corals
Calatafimi (Trapani_Sicily),12.86354222,37.91421166,Tortonian,Eastern Mediterranean,Italy,corals
Calisese (Forli),12.30147601,44.1018875,Tortonian,Po Plain-Northern Adriatic,Italy,ostracods
Calliano,8.255121504,45.0069955,Zanclean,Po Plain-Northern Adriatic,Italy,planktic_foraminifera
Callonges-Serre (Cadenet_Rhone delta),5.298081645,44.08611779,Tortonian,Western Mediterranean,France,ostracods
Ca-Lunga (Sabbie d'Asti_Piedmont),8.17864,44.898334,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Camerano Csasco (Sabbie d'Asti_Piedmont),8.09067297,44.98768343,Zanclean,Po Plain-Northern Adriatic,Italy,marine_mammals
Camigliano (Grosseto_Tuscany),11.39921242,43.00724087,Zanclean,Western Mediterranean,Italy,bivalves
Camigliano (Grosseto_Tuscany),11.39921242,43.00724087,Zanclean,Western Mediterranean,Italy,gastropods
Camigliano (Grosseto_Tuscany),11.39921242,43.00724087,Zanclean,Western Mediterranean,Italy,marine_mammals
Camino Tondo (Grosseto_Tuscany),11.157011,42.760824,Zanclean,Western Mediterranean,Italy,bivalves
Camino Tondo (Grosseto_Tuscany),11.157011,42.760824,Zanclean,Western Mediterranean,Italy,gastropods
Campagnatico (Tuscany),11.27388015,42.88373711,Zanclean,Western Mediterranean,Italy,marine_mammals
Campagnatico (Tuscany),11.27388015,42.88373711,Zanclean,Western Mediterranean,Italy,sharks
Campofelice (Palermo),13.3735987,38.15322392,pre-evaporitic Messinian,Eastern Mediterranean,Italy,bivalves
Campofelice (Palermo),13.3735987,38.15322392,pre-evaporitic Messinian,Eastern Mediterranean,Italy,gastropods
Camporosso,7.62882573,43.81394533,Tortonian,Western Mediterranean,Italy,ostracods
Campos del Rio Murcia,-1.352965552,38.04078624,pre-evaporitic Messinian,Western Mediterranean,Spain,fish
Campos del Rio Murcia,-1.352965552,38.04078624,Tortonian,Western Mediterranean,Spain,fish
Ca'n March (Catalonia),2.952829769,42.14169212,Tortonian,Western Mediterranean,Spain,sharks
